rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.09,0.2,94.69
2,2,Bayern Munich,German Bundesliga,3.17,0.32,93.58
3,3,Liverpool,Barclays Premier League,2.86,0.26,92.6
4,4,Barcelona,Spanish Primera Division,2.89,0.42,90.37
5,5,Juventus,Italy Serie A,2.72,0.39,89.72
6,6,Paris Saint-Germain,French Ligue 1,2.83,0.49,88.87
7,7,Real Madrid,Spanish Primera Division,2.59,0.57,85.31
8,8,Tottenham Hotspur,Barclays Premier League,2.37,0.52,83.73
9,11,Atletico Madrid,Spanish Primera Division,2.21,0.44,83.6
10,10,Chelsea,Barclays Premier League,2.39,0.55,83.5
11,12,RB Leipzig,German Bundesliga,2.34,0.52,83.39
12,9,Borussia Dortmund,German Bundesliga,2.52,0.64,83.08
13,13,Ajax,Dutch Eredivisie,3.04,0.97,82.94
14,15,Napoli,Italy Serie A,2.49,0.65,82.5
15,17,FC Salzburg,Austrian T-Mobile Bundesliga,2.85,0.88,82.31
16,14,Bayer Leverkusen,German Bundesliga,2.42,0.63,82.23
17,16,Manchester United,Barclays Premier League,2.32,0.57,82.17
18,18,Internazionale,Italy Serie A,2.3,0.64,80.52
19,19,Arsenal,Barclays Premier League,2.38,0.72,79.93
20,20,FC Porto,Portuguese Liga,2.24,0.7,78.27
21,22,Sevilla FC,Spanish Primera Division,2.09,0.63,77.64
22,21,Everton,Barclays Premier League,2.01,0.58,77.62
23,25,Benfica,Portuguese Liga,2.32,0.8,77.31
24,26,Leicester City,Barclays Premier League,1.99,0.6,76.73
25,23,Valencia,Spanish Primera Division,2.14,0.71,76.62
26,24,AC Milan,Italy Serie A,2.07,0.69,76.12
27,30,Athletic Bilbao,Spanish Primera Division,1.84,0.56,75.3
28,28,TSG Hoffenheim,German Bundesliga,2.3,0.89,75.16
29,29,Olympiacos,Greek Super League,2.23,0.85,74.86
30,32,Real Sociedad,Spanish Primera Division,1.92,0.68,73.78
31,35,Eintracht Frankfurt,German Bundesliga,2.01,0.75,73.64
32,27,Lyon,French Ligue 1,2.09,0.81,73.63
33,31,Wolverhampton,Barclays Premier League,1.9,0.69,73.43
34,34,Eibar,Spanish Primera Division,1.92,0.7,73.34
35,37,Zenit St Petersburg,Russian Premier Liga,1.91,0.7,73.06
36,33,Getafe,Spanish Primera Division,1.78,0.64,72.49
37,39,FC Krasnodar,Russian Premier Liga,1.92,0.75,72.11
38,41,PSV,Dutch Eredivisie,2.2,0.97,71.65
39,36,AS Roma,Italy Serie A,2.03,0.87,71.19
40,38,Young Boys,Swiss Raiffeisen Super League,2.34,1.11,71.19
41,47,Crystal Palace,Barclays Premier League,1.9,0.78,71.06
42,103,Shakhtar Donetsk,UEFA Champions League,2.12,0.95,70.97
43,44,VfL Wolfsburg,German Bundesliga,1.96,0.83,70.91
44,40,Borussia Monchengladbach,German Bundesliga,2.0,0.86,70.89
45,58,Lazio,Italy Serie A,1.95,0.83,70.83
46,52,Flamengo,Brasileiro Série A,1.99,0.86,70.69
47,42,Real Betis,Spanish Primera Division,1.97,0.85,70.68
48,46,Villarreal,Spanish Primera Division,2.05,0.93,70.1
49,49,Southampton,Barclays Premier League,1.88,0.83,69.57
50,43,Palmeiras,Brasileiro Série A,1.7,0.69,69.54
51,57,West Ham United,Barclays Premier League,2.0,0.92,69.4
52,56,Schalke 04,German Bundesliga,1.83,0.8,69.39
53,50,Werder Bremen,German Bundesliga,2.01,0.94,69.29
54,53,Newcastle,Barclays Premier League,1.76,0.75,69.14
